nro_poliza,id_tomador,denominacion,fecha_nacimiento,domicilio,movil_contacto,email_contacto,matricula,tipo_vehiculo,marca,modelo,funcionamiento,cobertura,id_conductor,nif_conductor,fecha_nacimiento_conductor,tipo_carnet,fecha_carnet,estado_poliza,fecha_emision,forma_pago,id_recibo,fecha_inicio,duracion,importe_cobrar,fecha_cobro,estado_recibo,importe_pagar,estado_liquidacion,fecha_liquidacion,nro_siniestro,descripcion,matricula_contrario,compania_contrario,nro_poliza_contrario,importe_pagar_siniestro,estado_siniestro,fecha_abono_siniestro,nro_liquidacion,fecha_liquidacion_liquidacion,estado_liquidacion_liquidacion,importe_recibos_cobrados,importe_recibos_baja,importe_siniestros_pagados,importe_liquidacion,lista_recibos_liquidar,lista_recibos_baja,lista_siniestros_liquidados
P12345,12345678A,Juan Perez,1985-07-15,Calle Falsa 123,600123456,juan.perez@email.com,ABC123,TURISMO,Toyota,Corolla,Combustión,RC,87654321B,87654321B,1990-05-20,B,2010-08-15,Cobrada,2024-01-01,Efectivo,R123,2024-01-01,A,500,2024-02-01,Cobrado,450,Cerrada,2024-02-15,S9876,Colisión con otro vehículo,XYZ987,SegurosXYZ,P67890,2000,Pendiente,2024-02-10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abierta,2025-02-12,,,,,,,,,2025-0002,,,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerrada,2025-02-12,,,,,,,,,2025-0003,,,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abierta,2025-02-12,,,,,,,,,2025-0004,,,0,0,0,"(0, 0)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abierta,2025-02-12,,,,,,,,,2025-0005,,,0,0,0,"(0, 0)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abierta,2025-02-12,,,,,,,,,2025-0006,,,0,0,0,"(0, 0)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abierta,2025-02-12,,,,,,,,,2025-0007,,,0,0,0,"(0, 0)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abierta,2025-02-12,,,,,,,,,2025-0008,,,0,0,0,"(0, 0)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerrada,2025-02-12,,,,,,,,,2025-0009,,,0,0,0,"(0, 0)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerrada,2025-02-12,,,,,,,,,2025-0010,,,0,0,0,"(0, 0)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abierta,2025-02-12,,,,,,,,,2025-0011,,,0,0,0,"(0, 0)",,,
,12345678A,,,,,,,,,,,,,,,,,,,,,,,,,,,Abierta,2025-02-12,,,,,,,,,2025-0012,,,0,0,0,"(0, 0)",,,
